focal,naso,mpd,covi,covr
sd,1,0.219566,-0.004175365,0.004084657
bp,1,0.508483,-0.003325215,0.002649135
se,1,0.432637,-0.002943329,0.208062809
bp,1,0.451994,-0.001164533,0.003316658
cd,1,0.508483,-0.00084187,0.016787935
sp,1,0.445684,-0.000469211,0.03969416
bc,1,0.306972,-0.000158474,0.000268593
mp,1,0.050941,-0.000131412,0.377322168
bp,1,0.445751,-0.000112582,0.00450565
bc,1,0.459968,-9.66E-05,0.00027335
bc,1,0.46167,-6.28E-05,0.000357767
st,1,0.074122,-5.38E-05,0.007996467
mp,1,0.463606,-4.54E-05,0.380078377
bc,1,0.455427,-3.63E-05,0.000363543
mp,1,0.305351,-2.31E-05,0.380228441
mp,1,0.460049,-9.36E-06,0.380341907
aa,1,0.434923,-9.24E-06,0.030113015
aa,1,0.476165,-8.46E-06,0.030077306
bc,1,0.457682,-6.50E-06,0.000403534
bp,1,0.449659,-5.45E-06,0.004624604
mp,1,0.084058,-4.19E-06,0.380474378
bp,1,0.491534,-3.48E-06,0.004612702
bc,1,0.465227,-3.02E-06,0.000414214
mk,1,0.484993,-2.76E-06,0.012303093
mk,1,0.501942,-2.55E-06,0.012344414
bp,1,0.452225,-2.38E-06,0.004624383
aa,1,0.432637,-2.12E-06,0.030084845
mk,1,0.443118,-2.11E-06,0.012363789
bp,1,0.050941,-2.04E-06,0.004612896
mk,1,0.445684,-1.49E-06,0.012346153
bp,1,0.076003,-1.22E-06,0.004622152
hp,1,0.465227,-1.10E-06,0.083192778
aa,1,0.074122,-9.99E-07,0.029983539
ty,1,0.449659,-9.96E-07,0.090024999
tc,1,0.46167,-9.56E-07,0.027292748
bc,1,0.518159,-8.49E-07,0.000416387
fp,1,0.445751,-7.51E-07,0.075418296
tc,1,0.451994,-6.97E-07,0.02723367
aa,1,0.493114,-6.40E-07,0.030035362
tm,1,0.459968,-5.75E-07,0.049847678
cs,1,0.281927,-5.70E-07,0.05367861
bc,1,0.085679,-5.50E-07,0.000415904
aa,1,0.076003,-5.40E-07,0.029973973
bc,1,0.459335,-5.38E-07,0.000416033
cd,1,0.518159,-5.32E-07,0.030369338
ty,1,0.459335,-4.74E-07,0.09018238
bc,1,0.521237,-4.58E-07,0.00041571
aa,1,0.085679,-3.84E-07,0.030076079
pn,1,0.491534,-3.45E-07,0.039731923
ty,1,0.43429,-2.74E-07,0.089930218
ty,1,0.443118,-2.43E-07,0.090078455
st,1,0.056102,-2.40E-07,0.010036025
fp,1,0.455427,-1.97E-07,0.075172687
rt,1,0.521237,-1.54E-07,0.02095587
pn,1,0.484993,-1.53E-07,0.040029458
sp,1,0.461901,-1.30E-07,0.064014397
hp,1,0.225458,-6.82E-10,0.083409367
cd,1,0.501942,4.02E-10,0.03013501
mk,1,0.053063,7.97E-09,0.01232809
se,1,0.457682,1.01E-08,0.239124071
pn,1,0.50121,6.27E-08,0.039766687
bc,1,0.053063,7.79E-08,0.000413057
sp,1,0.450344,8.63E-08,0.063871446
bc,1,0.461901,1.35E-07,0.000415872
bp,1,0.048047,2.53E-07,0.004617856
bt,1,0.332417,4.62E-07,0.119028656
se,1,0.456061,5.08E-07,0.23976519
cs,1,0.297296,6.45E-07,0.053194334
aa,1,0.436856,7.14E-07,0.03009817
bt,1,0.307372,8.11E-07,0.119554003
st,1,0.44387,9.00E-07,0.010060463
st,1,0.450344,9.50E-07,0.010033228
aa,1,0.496192,9.87E-07,0.030148929
mk,1,0.069462,1.02E-06,0.012349508
fp,1,0.44387,1.08E-06,0.075271045
cd,1,0.493114,1.21E-06,0.030160696
mk,1,0.051442,1.24E-06,0.012311857
tc,1,0.450113,1.26E-06,0.027318997
ty,1,0.219566,1.43E-06,0.090102962
aa,1,0.069462,1.82E-06,0.030061565
bp,1,0.297296,1.97E-06,0.004610775
bp,1,0.322741,2.02E-06,0.004622335
mk,1,0.43921,2.05E-06,0.012343799
mk,1,0.041506,2.10E-06,0.012353611
mp,1,0.056102,2.15E-06,0.380477548
mk,1,0.445453,2.30E-06,0.012330649
ty,1,0.447778,3.13E-06,0.09010769
rt,1,0.50968,3.71E-06,0.021007908
bt,1,0.472767,3.88E-06,0.119507331
aa,1,0.43429,4.08E-06,0.03009643
st,1,0.32086,4.44E-06,0.010049426
st,1,0.45367,4.47E-06,0.010025699
hp,1,0.44901,4.63E-06,0.08306488
rt,1,0.254096,4.63E-06,0.020999573
rt,1,0.269745,4.67E-06,0.021055641
pn,1,0.249718,4.90E-06,0.039794069
cd,1,0.529256,4.96E-06,0.030046776
mk,1,0.3162,5.13E-06,0.012347463
cs,1,0.441079,5.18E-06,0.053720975
mk,1,0.50502,5.39E-06,0.012359706
tc,1,0.445453,5.61E-06,0.027207854
mk,1,0.290755,5.92E-06,0.01236607
fp,1,0.43921,6.40E-06,0.07526642
tc,1,0.436625,6.47E-06,0.027190185
bt,1,0.466524,6.54E-06,0.119054449
hp,1,0.032832,6.68E-06,0.08315981
rt,1,0.269976,6.85E-06,0.021018586
ty,1,0.444987,6.89E-06,0.090118895
st,1,0.506602,6.99E-06,0.01006992
mk,1,0.44901,7.00E-06,0.012369297
cs,1,0.447553,7.45E-06,0.053666738
fp,1,0.263502,7.75E-06,0.07547323
se,1,0.025287,7.87E-06,0.239137595
fp,1,0.441079,8.15E-06,0.075217908
cs,1,0.295415,8.16E-06,0.053778912
sd,1,0.225458,8.33E-06,0.034337948
mp,1,0.453806,9.40E-06,0.380040086
tm,1,0.027573,9.89E-06,0.050651843
pn,1,0.281913,1.00E-05,0.039616311
rt,1,0.506889,1.01E-05,0.020999322
mp,1,0.516538,1.03E-05,0.380409206
rt,1,0.532334,1.03E-05,0.020955382
cd,1,0.266667,1.08E-05,0.030099621
tm,1,0.220199,1.09E-05,0.050205042
tc,1,0.029275,1.15E-05,0.027382737
sp,1,0.472998,1.15E-05,0.064280991
rt,1,0.273302,1.20E-05,0.02104035
aa,1,0.440182,1.26E-05,0.030027711
ty,1,0.029453,1.26E-05,0.089978499
tc,1,0.269745,1.28E-05,0.027124351
tm,1,0.443751,1.28E-05,0.050127288
sp,1,0.029506,1.29E-05,0.064052228
cs,1,0.459045,1.34E-05,0.053572344
ty,1,0.26741,1.37E-05,0.090071054
