Aristida_adscensionis,Bouteloua_chondrosioides,Bouteloua_polymorpha,Bulbostylis_tenuifolia,Crusea_diversifolia,Cyperus_seslerioides,Florestina_pedata,Heterosperma_pinnatum,Microchloa_kunthii,Muhlenbergia_peruviana,Plantago_nivea,Richardia_tricocca,Sanvitalia_procumbens,Sporobolus_tenuissimus,Stenandrium_dulce,Stevia_ephemera,Tagetes_micrantha,Thymophyla_auranthiaca,Tridax_coronopifolia
0,0.085679,0.076003,0.307372,0.493114,0.281927,0.430382,0.440182,0.069462,0.084058,0.476165,0.496192,0.436856,0.074122,0.448348,0.432637,0.434923,0.43429,0.436625
0.085679,0,0.036628,0.332417,0.518159,0.306972,0.455427,0.465227,0.053063,0.060617,0.50121,0.521237,0.461901,0.057723,0.473393,0.457682,0.459968,0.459335,0.46167
0.076003,0.036628,0,0.322741,0.508483,0.297296,0.445751,0.455551,0.043387,0.050941,0.491534,0.511561,0.452225,0.048047,0.463717,0.448006,0.450292,0.449659,0.451994
0.307372,0.332417,0.322741,0,0.529256,0.028773,0.466524,0.476324,0.3162,0.330796,0.512307,0.532334,0.472998,0.32086,0.48449,0.468779,0.471065,0.470432,0.472767
0.493114,0.518159,0.508483,0.529256,0,0.503811,0.260424,0.270224,0.501942,0.516538,0.278835,0.017486,0.266898,0.506602,0.251018,0.262679,0.264965,0.264332,0.266667
0.281927,0.306972,0.297296,0.028773,0.503811,0,0.441079,0.450879,0.290755,0.305351,0.486862,0.506889,0.447553,0.295415,0.459045,0.443334,0.44562,0.444987,0.447322
0.430382,0.455427,0.445751,0.466524,0.260424,0.441079,0,0.032832,0.43921,0.453806,0.243475,0.263502,0.029506,0.44387,0.215658,0.025287,0.027573,0.02694,0.029275
0.440182,0.465227,0.455551,0.476324,0.270224,0.450879,0.032832,0,0.44901,0.463606,0.253275,0.273302,0.035576,0.45367,0.225458,0.031357,0.033643,0.03301,0.035345
0.069462,0.053063,0.043387,0.3162,0.501942,0.290755,0.43921,0.44901,0,0.051442,0.484993,0.50502,0.445684,0.041506,0.457176,0.441465,0.443751,0.443118,0.445453
0.084058,0.060617,0.050941,0.330796,0.516538,0.305351,0.453806,0.463606,0.051442,0,0.499589,0.519616,0.46028,0.056102,0.471772,0.456061,0.458347,0.457714,0.460049
0.476165,0.50121,0.491534,0.512307,0.278835,0.486862,0.243475,0.253275,0.484993,0.499589,0,0.281913,0.249949,0.489653,0.165121,0.24573,0.248016,0.247383,0.249718
0.496192,0.521237,0.511561,0.532334,0.017486,0.506889,0.263502,0.273302,0.50502,0.519616,0.281913,0,0.269976,0.50968,0.254096,0.265757,0.268043,0.26741,0.269745
0.436856,0.461901,0.452225,0.472998,0.266898,0.447553,0.029506,0.035576,0.445684,0.46028,0.249949,0.269976,0,0.450344,0.222132,0.028031,0.030317,0.029684,0.020793
0.074122,0.057723,0.048047,0.32086,0.506602,0.295415,0.44387,0.45367,0.041506,0.056102,0.489653,0.50968,0.450344,0,0.461836,0.446125,0.448411,0.447778,0.450113
0.448348,0.473393,0.463717,0.48449,0.251018,0.459045,0.215658,0.225458,0.457176,0.471772,0.165121,0.254096,0.222132,0.461836,0,0.217913,0.220199,0.219566,0.221901
0.432637,0.457682,0.448006,0.468779,0.262679,0.443334,0.025287,0.031357,0.441465,0.456061,0.24573,0.265757,0.028031,0.446125,0.217913,0,0.026098,0.025465,0.0278
0.434923,0.459968,0.450292,0.471065,0.264965,0.44562,0.027573,0.033643,0.443751,0.458347,0.248016,0.268043,0.030317,0.448411,0.220199,0.026098,0,0.022261,0.030086
0.43429,0.459335,0.449659,0.470432,0.264332,0.444987,0.02694,0.03301,0.443118,0.457714,0.247383,0.26741,0.029684,0.447778,0.219566,0.025465,0.022261,0,0.029453
0.436625,0.46167,0.451994,0.472767,0.266667,0.447322,0.029275,0.035345,0.445453,0.460049,0.249718,0.269745,0.020793,0.450113,0.221901,0.0278,0.030086,0.029453,0
