focales,2001,2002,2003,2004,2005,2006,2007,2010,2011,2012,2013,2014,aa,bch,bp,bt,cd,cs,fp,hp,mk,mp,pn,rt,sp,st,sd,se,tm,ty,tc,a,b,disp,mig,cov
aa,2.208630486,1.013101794,0.775710405,1.125888346,1.776423083,1.053660127,1.039504054,1.049926586,0.583149126,1.502226795,2.718676615,1.91243742,0.147763454,4.54E-05,4.54E-05,0.068806171,4.54E-05,0.036800356,0.042232045,4.54E-05,4.54E-05,0,4.54E-05,4.54E-05,4.54E-05,4.54E-05,0,4.54E-05,4.54E-05,4.54E-05,0.077919983,-0.125005196,0.619871754,-0.602594467,0.670401204,5.63E-05
bc,1.120151213,1.191798511,1.211197532,1.262548819,1.094137486,1.270967894,1.235861929,1.282065798,1.269732193,1.203247952,1.237785385,1.292720898,4.81E-05,0.188552675,0.034780318,0.003343046,4.54E-05,0.004173474,0.011862888,4.54E-05,7.21E-04,0,0.004740601,4.54E-05,4.54E-05,0,0,0.001258261,0.009898041,4.54E-05,2.42E-03,-0.05369468,0.336772493,4.999999992,-0.409031888,-9.43E-07
bp,1.483576075,2.600473627,1.950756016,1.950992108,2.095565187,1.902505313,1.761277036,2.150425349,2.09535998,2.063045051,1.90938275,2.166672216,4.54E-05,0.199111871,0.685701065,4.55E-05,0.052982024,4.54E-05,0.004958362,0.029744394,0.015117578,4.54E-05,4.54E-05,0.070859631,4.54E-05,4.56E-05,0,0.003668699,0.049571818,4.54E-05,0.05357579,-0.102549977,0.477648406,4.999999991,-0.53679553,-1.67E-05
bt,0.408304805,7.506516277,0.905453909,0.253643888,0.686423689,0.784388441,2.827325141,1.380725557,1.835632266,0.371515973,7.074462331,1.220109808,4.54E-05,4.54E-05,0,0.206361901,0.012116486,0.024072456,4.54E-05,4.54E-05,0.025625328,0,4.54E-05,4.54E-05,0,0,0.057262239,4.54E-05,4.54E-05,0.010808378,4.54E-05,-0.113004618,0.472770857,-0.208646247,0.423917473,-5.44E-05
cd,1.634093437,0.919334377,1.540068531,0.778323058,1.459567364,0.328206694,3.322290387,1.138913229,1.479264979,1.231719595,1.692869383,0.572145003,4.54E-05,4.54E-05,0.053960527,4.54E-05,0.046968423,0.020518268,0,4.54E-05,4.54E-05,0,4.54E-05,0.01032476,0.008718329,0.032362739,0,4.54E-05,4.54E-05,4.54E-05,4.54E-05,0.225639929,1.64E-06,-0.590091293,1.177121808,1.65E-05
cs,1.45768564,3.317130162,0.511089785,0.87494872,4.377159509,0.404736112,1.873934067,1.157011051,1.677525851,1.298006985,0.9239697,0.326933007,4.54E-05,0,4.54E-05,0.034389637,0.011141259,0.088921617,4.54E-05,4.54E-05,0.002081014,0,4.54E-05,4.88E-03,4.54E-05,4.54E-05,4.54E-05,4.54E-05,4.54E-05,3.37E-03,0.00671642,-0.047784303,0.457352309,0.54203755,1.172889075,8.10E-06
fp,1.392530463,0.909494934,0.384973982,1.429278598,1.975127951,1.601255498,2.678791878,1.634766209,0.794140534,1.02345343,2.637229995,0.611160296,0,4.55E-05,4.54E-05,0,0,4.54E-05,0.456289488,0.067499302,4.54E-05,4.54E-05,4.54E-05,4.54E-05,0,4.54E-05,0,0.062618587,0,4.54E-05,4.54E-05,-0.473669801,1.63E-06,-1.00150049,1.453734319,-1.73E-06
hp,1.569090887,2.190393531,1.306048739,0.277360535,4.650621211,0.712086989,2.77814086,1.426280011,0.994358732,2.331308463,2.489615209,0.71915164,0.073297615,4.54E-05,0,0.004348553,0.011530311,4.54E-05,4.54E-05,0.092989581,4.54E-05,0,4.54E-05,4.54E-05,4.58E-05,0.018764087,4.57E-05,0.03348232,4.54E-05,0.034782645,4.54E-05,0.467124629,1.65E-06,-0.741143986,1.042240482,9.55E-05
mk,0.99804911,1.902182304,0.942418461,1.535715106,1.70427343,1.088395876,1.148031589,2.017783174,1.21586252,1.18158369,1.796079304,1.164046596,4.54E-05,4.54E-05,0.082056671,4.54E-05,4.54E-05,4.54E-05,4.54E-05,4.54E-05,0.107382721,4.54E-05,4.54E-05,4.54E-05,4.54E-05,4.54E-05,0,4.54E-05,0.004251995,4.54E-05,4.54E-05,-0.17911074,0.723231115,1.064361424,0.073430888,-6.40E-08
mp,5.424216906,3.770949573,1.175028215,0.990045366,0.135335707,13.58937028,5.837938143,8.398235156,2.789992696,0.280387812,6.894308407,0.814644491,4.54E-05,0,0.004453322,4.54E-05,4.54E-05,4.54E-05,4.54E-05,4.56E-05,0.117237307,0.39037543,4.54E-05,0,0.0393049,4.54E-05,0,4.54E-05,4.55E-05,0.02296531,4.54E-05,-0.07605863,0.398299754,-1.943224464,0.385338253,-0.000108847
